iter	Passed	Remaining
228	7009	20538
229	7036	20497
230	7066	20466
231	7097	20436
232	7126	20401
233	7156	20367
234	7183	20328
235	7213	20295
236	7242	20260
237	7271	20224
238	7302	20195
239	7333	20167
240	7364	20137
241	7392	20101
242	7422	20067
243	7453	20039
244	7484	20008
245	7515	19979
246	7545	19948
247	7574	19914
248	7604	19880
249	7633	19846
250	7662	19811
251	7692	19780
252	7724	19753
253	7754	19723
254	7785	19693
255	7814	19658
256	7847	19633
257	7876	19600
258	7907	19569
259	7939	19543
260	7967	19506
261	7997	19475
262	8029	19448
263	8059	19415
264	8087	19379
265	8121	19357
266	8152	19327
267	8182	19296
268	8212	19264
269	8243	19234
270	8272	19201
271	8301	19165
272	8332	19136
273	8364	19109
274	8394	19079
275	8423	19044
276	8453	19012
277	8483	18981
278	8513	18949
279	8543	18918
280	8575	18890
281	8605	18857
282	8634	18826
283	8665	18795
284	8698	18770
285	8729	18741
286	8757	18704
287	8788	18674
288	8819	18646
289	8847	18610
290	8879	18582
291	8911	18555
292	8941	18524
293	8971	18493
294	9000	18458
295	9029	18425
296	9059	18394
297	9092	18367
298	9120	18331
299	9150	18300
300	9179	18266
301	9211	18240
302	9240	18206
303	9271	18176
304	9300	18144
305	9332	18116
306	9363	18086
307	9393	18054
308	9425	18026
309	9454	17993
310	9485	17963
311	9516	17934
312	9546	17903
313	9576	17871
314	9607	17841
315	9638	17813
316	9671	17787
317	9702	17756
318	9731	17724
319	9760	17691
320	9791	17661
321	9823	17633
322	9852	17600
323	9883	17570
324	9914	17541
325	9946	17512
326	9975	17480
327	10006	17450
328	10035	17417
329	10066	17387
330	10095	17355
331	10125	17322
332	10155	17292
333	10186	17261
334	10214	17227
335	10245	17198
336	10275	17166
337	10307	17139
338	10337	17107
339	10366	17074
340	10396	17042
341	10425	17010
342	10455	16978
343	10486	16948
344	10515	16916
345	10544	16882
346	10577	16857
347	10610	16830
348	10641	16800
349	10673	16772
350	10702	16740
351	10732	16708
352	10762	16677
353	10794	16648
354	10824	16618
355	10854	16586
356	10886	16558
357	10916	16527
358	10946	16495
359	10977	16465
360	11007	16435
361	11037	16404
362	11067	16372
363	11100	16345
364	11131	16316
365	11161	16285
366	11191	16253
367	11224	16226
368	11254	16195
369	11283	16163
370	11314	16133
371	11345	16103
372	11376	16073
373	11408	16044
374	11438	16014
375	11469	15984
376	11500	15954
377	11530	15923
378	11562	15894
379	11591	15862
380	11622	15831
381	11654	15803
382	11685	15773
383	11714	15741
384	11745	15711
385	11776	15681
386	11806	15650
387	11838	15621
388	11867	15589
389	11897	15557
390	11925	15524
391	11954	15491
392	11984	15461
393	12015	15431
394	12046	15400
395	12077	15371
396	12107	15340
397	12139	15311
398	12171	15282
399	12203	15254
400	12233	15223
401	12261	15190
402	12291	15159
403	12323	15129
404	12355	15100
405	12386	15071
406	12419	15043
407	12447	15009
408	12476	14978
409	12507	14947
410	12535	14914
411	12565	14883
412	12594	14851
413	12623	14819
414	12654	14788
415	12685	14758
416	12713	14726
417	12743	14694
418	12772	14662
419	12801	14630
420	12831	14598
421	12863	14570
422	12893	14538
423	12922	14507
424	12951	14475
425	12983	14446
426	13015	14417
427	13046	14387
428	13074	14354
429	13103	14322
430	13135	14293
431	13166	14264
432	13197	14233
433	13227	14202
434	13258	14173
435	13291	14144
436	13324	14117
437	13355	14087
438	13385	14056
439	13415	14025
440	13446	13995
441	13476	13963
442	13505	13932
443	13537	13903
444	13567	13872
445	13597	13841
446	13627	13810
447	13656	13778
448	13686	13747
449	13713	13713
450	13742	13681
451	13771	13649
452	13799	13616
453	13829	13585
454	13859	13554
455	13888	13523
456	13919	13493
457	13948	13461
458	13978	13430
459	14007	13398
460	14036	13366
461	14065	13335
462	14096	13305
463	14125	13272
464	14154	13241
465	14185	13211
466	14216	13181
467	14245	13149
468	14276	13119
469	14305	13088
470	14333	13055
471	14363	13024
472	14391	12991
473	14422	12962
474	14452	12931
475	14483	12900
476	14513	12870
477	14541	12837
478	14571	12806
479	14600	12775
480	14630	12744
481	14659	12713
482	14688	12680
483	14717	12649
484	14747	12619
485	14778	12589
486	14810	12560
487	14842	12530
488	14873	12501
489	14904	12471
490	14934	12440
491	14964	12409
492	14996	12380
493	15026	12349
494	15054	12317
495	15084	12286
496	15114	12255
497	15143	12224
498	15174	12194
499	15204	12163
500	15233	12131
501	15263	12101
502	15294	12071
503	15324	12040
504	15353	12009
505	15383	11978
506	15414	11948
507	15444	11917
508	15474	11887
509	15503	11855
510	15534	11825
511	15563	11794
512	15597	11766
513	15629	11737
514	15661	11707
515	15690	11676
516	15719	11644
517	15750	11615
518	15781	11585
519	15813	11555
520	15845	11526
521	15877	11497
522	15909	11468
523	15938	11436
524	15969	11406
525	15998	11375
526	16027	11344
527	16060	11315
528	16091	11285
529	16120	11254
530	16150	11223
531	16179	11191
532	16210	11161
533	16242	11132
534	16272	11101
535	16305	11072
536	16333	11041
537	16365	11012
538	16396	10981
539	16426	10951
540	16455	10919
541	16484	10888
542	16513	10857
543	16545	10827
544	16576	10797
545	16607	10767
546	16636	10736
547	16666	10705
548	16696	10675
549	16727	10644
550	16756	10613
551	16785	10582
552	16815	10551
553	16845	10520
554	16875	10490
555	16905	10459
556	16935	10428
557	16967	10399
558	16998	10369
559	17029	10339
560	17058	10308
561	17089	10278
562	17119	10247
563	17150	10217
564	17181	10186
565	17211	10156
566	17242	10126
567	17272	10095
568	17302	10065
569	17332	10034
570	17363	10004
571	17391	9972
572	17420	9941
573	17450	9910
574	17479	9879
575	17508	9848
576	17536	9817
577	17565	9785
578	17595	9755
579	17627	9725
580	17659	9695
581	17688	9664
582	17716	9633
583	17744	9601
584	17772	9570
585	17802	9539
586	17832	9508
587	17863	9478
588	17893	9448
589	17923	9417
590	17954	9387
591	17982	9355
592	18012	9325
593	18041	9294
594	18068	9262
595	18099	9231
596	18129	9201
597	18159	9170
598	18188	9139
599	18217	9108
600	18245	9077
601	18274	9045
602	18303	9015
603	18332	8984
604	18362	8953
605	18391	8922
606	18420	8891
607	18451	8861
608	18480	8830
609	18512	8801
610	18541	8769
611	18574	8740
612	18604	8710
613	18636	8680
614	18666	8650
615	18697	8620
616	18728	8590
617	18760	8560
618	18790	8530
619	18819	8499
620	18850	8469
621	18881	8439
622	18913	8409
623	18942	8378
624	18974	8348
625	19006	8318
626	19035	8288
627	19067	8258
628	19097	8227
629	19128	8198
630	19158	8167
631	19189	8137
632	19221	8107
633	19251	8077
634	19280	8046
635	19309	8015
636	19340	7984
637	19368	7954
638	19398	7923
639	19429	7893
640	19459	7862
641	19487	7831
642	19517	7800
643	19548	7770
644	19577	7739
645	19608	7709
646	19639	7679
647	19669	7649
648	19700	7619
649	19731	7588
650	19761	7558
651	19788	7527
652	19819	7496
653	19849	7466
654	19877	7435
655	19908	7405
656	19939	7374
657	19968	7344
658	19997	7313
659	20028	7283
660	20056	7251
661	20087	7221
662	20115	7190
663	20145	7160
664	20177	7130
665	20208	7100
666	20239	7070
667	20270	7040
668	20299	7009
669	20330	6979
670	20360	6948
671	20390	6918
672	20420	6887
673	20448	6856
674	20476	6825
675	20507	6795
676	20536	6764
677	20566	6734
678	20596	6703
679	20626	6673
680	20655	6642
681	20686	6612
682	20717	6582
683	20747	6551
684	20778	6521
685	20811	6492
686	20845	6462
687	20876	6432
688	20905	6402
689	20935	6371
690	20968	6341
691	21001	6312
692	21028	6281
693	21057	6250
694	21087	6220
695	21117	6189
696	21145	6158
697	21174	6127
698	21207	6098
699	21237	6067
700	21266	6037
701	21296	6006
702	21326	5976
703	21355	5945
704	21384	5914
705	21414	5884
706	21443	5853
707	21474	5823
708	21504	5793
709	21532	5762
710	21563	5732
711	21594	5701
712	21624	5671
713	21654	5641
714	21686	5611
715	21715	5580
716	21745	5550
717	21774	5519
718	21805	5489
719	21835	5458
720	21867	5428
721	21899	5399
722	21930	5368
723	21960	5338
724	21993	5308
725	22024	5278
726	22054	5248
727	22082	5217
728	22114	5187
729	22142	5156
730	22171	5125
731	22200	5095
732	22231	5065
733	22261	5034
734	22290	5004
735	22320	4973
736	22348	4942
737	22379	4912
738	22408	4882
739	22440	4852
740	22471	4821
741	22501	4791
742	22532	4761
743	22561	4730
744	22592	4700
745	22625	4670
746	22653	4639
747	22682	4609
748	22711	4578
749	22740	4548
750	22770	4517
751	22799	4487
752	22830	4456
753	22860	4426
754	22890	4396
755	22918	4365
756	22947	4334
757	22977	4304
758	23007	4274
759	23036	4243
760	23063	4212
761	23091	4181
762	23121	4151
763	23153	4121
764	23182	4091
765	23211	4060
766	23245	4030
767	23274	4000
768	23306	3970
769	23337	3940
770	23368	3909
771	23399	3879
772	23429	3849
773	23458	3818
774	23490	3788
775	23521	3758
776	23549	3727
777	23580	3697
778	23611	3667
779	23640	3637
780	23672	3606
781	23702	3576
782	23731	3546
783	23760	3515
784	23789	3485
785	23819	3454
786	23848	3424
787	23878	3393
788	23908	3363
789	23938	3333
790	23969	3303
791	24001	3272
792	24031	3242
793	24062	3212
794	24093	3182
795	24123	3151
796	24153	3121
797	24184	3091
798	24214	3060
799	24242	3030
800	24271	2999
801	24299	2969
802	24330	2939
803	24359	2908
804	24390	2878
805	24418	2847
806	24447	2817
807	24478	2787
808	24509	2756
809	24538	2726
810	24570	2696
811	24599	2665
812	24630	2635
813	24660	2605
814	24693	2575
815	24722	2544
816	24751	2514
817	24782	2484
818	24812	2453
819	24840	2423
820	24870	2393
821	24899	2362
822	24931	2332
823	24962	2302
824	24992	2272
825	25022	2241
826	25051	2211
827	25080	2180
828	25110	2150
829	25140	2120
830	25172	2090
831	25203	2059
832	25232	2029
833	25265	1999
834	25294	1969
835	25324	1938
836	25355	1908
837	25384	1878
838	25413	1847
839	25443	1817
840	25481	1787
841	25518	1757
842	25553	1727
843	25583	1697
844	25616	1667
845	25646	1637
846	25679	1606
847	25710	1576
848	25739	1546
849	25770	1515
850	25800	1485
851	25831	1455
852	25863	1425
853	25892	1394
854	25922	1364
855	25953	1334
856	25983	1303
857	26013	1273
858	26043	1243
859	26072	1212
860	26103	1182
861	26133	1152
862	26163	1121
863	26192	1091
864	26223	1061
865	26254	1030
866	26283	1000
867	26315	970
868	26348	939
869	26380	909
870	26414	879
871	26442	849
872	26476	818
873	26505	788
874	26535	758
875	26566	727
876	26599	697
877	26629	667
878	26660	636
879	26691	606
880	26721	576
881	26750	545
882	26780	515
883	26812	485
884	26842	454
885	26872	424
886	26902	394
887	26933	363
888	26963	333
889	26992	303
890	27023	272
891	27055	242
892	27084	212
893	27114	181
894	27145	151
895	27175	121
896	27205	90
897	27237	60
898	27267	30
899	27296	0
