iter	Logloss
0	0.5401059372
1	0.4228953519
2	0.3414571436
3	0.2840925056
4	0.240528713
5	0.2096072986
6	0.1853114575
7	0.1659893646
8	0.1526640673
9	0.1415600552
10	0.1339249865
11	0.1267522694
12	0.1216743809
13	0.1171926347
14	0.1130568129
15	0.1108395461
16	0.1081724543
17	0.1058777788
18	0.104407759
19	0.1025348125
20	0.1011570928
21	0.0997820437
22	0.09865096161
23	0.09764331824
24	0.09680536696
25	0.09601532271
26	0.095070147
27	0.09453806811
28	0.09377096036
29	0.09301511415
30	0.09239245509
31	0.09196965946
32	0.09155352814
33	0.09097536954
34	0.09052428775
35	0.09009109876
36	0.08970814847
37	0.0892346759
38	0.08881446
39	0.08839235065
40	0.08787671758
41	0.08751341298
42	0.08705307887
43	0.08665999154
44	0.08623979218
45	0.08582963891
46	0.08555178807
47	0.08524901633
48	0.08485773978
49	0.0846636973
50	0.08449335202
51	0.08421506296
52	0.08394648099
53	0.08346645986
54	0.08308459273
55	0.08290910451
56	0.08263343653
57	0.08240887544
58	0.08210994023
59	0.08190843967
60	0.08175988985
61	0.08155434605
62	0.08130097791
63	0.08105935087
64	0.08082488426
65	0.08061738912
66	0.08049830783
67	0.08022935377
68	0.07990807738
69	0.07978558951
70	0.07965533763
71	0.0794017049
72	0.07921230099
73	0.07895514593
74	0.07886207698
75	0.07863783836
76	0.07832796406
77	0.07809063659
78	0.07789988493
79	0.077774222
80	0.07755394394
81	0.07734829265
82	0.07719107757
83	0.0769800849
84	0.07675503598
85	0.0764784006
86	0.07637559976
87	0.07619969812
88	0.07579151272
89	0.07561007126
90	0.07547017018
91	0.07532059508
92	0.07521352775
93	0.0750283986
94	0.07484850333
95	0.07466379586
96	0.07450655597
97	0.07436051974
98	0.07420445396
99	0.0740355143
100	0.07387646364
101	0.07374101921
102	0.07352053444
103	0.07337864067
104	0.07312490045
105	0.0730250845
106	0.07288441445
107	0.07259627774
108	0.0724620405
109	0.0721978077
110	0.07198505387
111	0.07183269232
112	0.07161340647
113	0.07149483782
114	0.07139993328
115	0.07127369157
116	0.07102196884
117	0.07083995686
118	0.07053964909
119	0.07026605648
120	0.07018658075
121	0.07002963026
122	0.06968751753
123	0.06962508295
124	0.06945854939
125	0.06935473154
126	0.06914582664
127	0.06906157593
128	0.06880785224
129	0.06867279229
130	0.06862256599
131	0.06856462114
132	0.06850283149
133	0.06843510514
134	0.06832296103
135	0.06820431796
136	0.06800490517
137	0.06784982333
138	0.06770971967
139	0.06762148772
140	0.06747958982
141	0.06738852182
142	0.06728138008
143	0.06712758397
144	0.06700365327
145	0.06686151559
146	0.06675665178
147	0.06658567397
148	0.06651246155
149	0.06644886526
150	0.06634783385
151	0.06622724772
152	0.06600741201
153	0.06594572572
154	0.06577774933
155	0.06558652224
156	0.06540860312
157	0.06531276426
158	0.06526328624
159	0.06513497743
160	0.06507136047
161	0.06498356675
162	0.06488303145
163	0.06483798942
164	0.06472240979
165	0.06461917899
166	0.06455089866
167	0.06434501586
168	0.06420634676
169	0.06413403559
170	0.06398638703
171	0.06387851767
172	0.06374731079
173	0.06367181216
174	0.06349574102
175	0.06341235435
176	0.06334858856
177	0.06328323111
178	0.06321019232
179	0.06316270698
180	0.06299791392
181	0.06288212758
182	0.06279214687
183	0.06270737525
184	0.06260973802
185	0.06247159396
186	0.06230652804
187	0.06224239017
188	0.06208673781
189	0.06200244989
190	0.0619094967
191	0.06177801283
192	0.06169023565
193	0.061611132
194	0.06153501324
195	0.06146758455
196	0.06137795112
197	0.06129064523
198	0.06117603301
199	0.06104021237
200	0.06093380651
201	0.06080430292
202	0.06070395779
203	0.060600727
204	0.06037790227
205	0.06034855363
206	0.06027370821
207	0.0601889986
208	0.0600617192
209	0.0599472434
210	0.05987185226
211	0.05982440413
212	0.05975466443
213	0.05967363838
214	0.05963610405
215	0.05953943008
216	0.05944354574
217	0.05934220427
218	0.05923018832
219	0.05916318546
220	0.05907155521
221	0.05888376363
222	0.0587622721
223	0.05862561222
